,месяц:,май,,июнь,,,,июль,,,,,август,,,,,Сентябрь,,,,,Октябрь,,,,,,,
,неделя:,19.05 - 25.05,26.05 - 31.05,01.06 - 08.06,09.06 - 15.06,16.06 - 22.06,23.06 - 30.06,01.07 - 06.07,07.07 - 13.07,14.07 - 20.07,21.07 - 27.07,28.07 - 31.07,01.08 - 03.08,04.08 - 10.08,11.08 - 17.08,18.08 - 24.08,25.08 - 31.08,01.09 - 07.09,08.09 - 14.09,15.09 - 21.09,22.09 - 28.09,29.09 - 30.09,01.10 - 05.10,06.10 - 12.10,13.10 - 19.10,20.10 - 26.10,27.10 - 31.10,01.11 - 09.11,10.11 - 16.11,17.11 - 23.11
Итого:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telegram Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9258.68,12160.93,26433.1,15863.48,27888.97,1181.38,1944.73,4375.65,23702.52,3115.22,0,0,0,0,0
,Показы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49039,64822,135178,80481,143885,6097,10000,22500,128700,16917,0,0,0,0,0
,Клики,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,423,1066,649,958,30,66,170,715,110,0,0,0,0,0
,Подписки,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,75,201,118,161,5,12,38,165,18,0,0,0,0,0
,Стоимост. клика,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,41.51874439,28.7492435,24.79652908,24.4429584,29.11165971,39.37933333,29.46560606,25.73911765,33.15037762,28.32018182,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,Стоимост. подписки,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.1855556,162.1457333,131.5079602,134.4362712,173.2234161,236.276,162.0608333,115.1486842,143.6516364,173.0677778,0,0,0,0,0
,% клик / подписка,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1614349776,0.1773049645,0.1885553471,0.1818181818,0.1680584551,0.1666666667,0.1818181818,0.2235294118,0.2307692308,0.1636363636,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сообщество и профиль (группа),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Расход,,,,,,,,,,,,,,,9258.68,12160.93,26433.1,15863.48,27888.97,1181.38,1944.73,4375.65,23702.52,3115.22,,,,,
,Показы,,,,,,,,,,,,,,,49039.0,64822,135178.0,80481.0,143885.0,6097.0,10000.0,22500.0,128700.0,16917.0,,,,,
,Клики,,,,,,,,,,,,,,,223.0,423,1066.0,649.0,958.0,30.0,66.0,170.0,715.0,110.0,,,,,
,Подписки,,,,,,,,,,,,,,,36.0,75,201.0,118.0,161.0,5.0,12.0,38.0,165.0,18.0,,,,,
,Стоимост. подписки,,,,,,,,,,,,,,,257.1855556,162.1457333,131.5079602,134.4362712,173.2234161,236.276,162.0608333,115.1486842,143.6516364,173.0677778,,,,,
,% клик / подписка,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1614349776,0.1773049645,0.1885553471,0.1818181818,0.1680584551,0.1666666667,0.1818181818,0.2235294118,0.2307692308,0.1636363636,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
